Ballots with first choice:,Number of Ballots,"% of votes to Wilson, Ayesha","% of votes to Rojas Villareal, Jose Luis","% of votes to Fantini, Alfred B.","% of votes to Weinstain, Rachel","% of votes to Dexter, Emily R.","% of votes to Bowman, Mannika L.",% of votes to exhaust,percent_sum
"Allen, Ruth Ryan",893.0,0.0,17.69,0.0,20.04,0.0,0.0,62.26,100.0
"Bowman, Mannika L.",3109.0,2.03,1.64,3.89,1.32,0.0,89.29,1.83,99.99999999999999
"Dawson, Bernette J.",977.0,0.0,34.39,0.0,0.0,0.0,0.0,65.61,100.0
"Dexter, Emily R.",3003.0,0.83,2.2,1.83,1.33,92.44,0.0,1.37,99.99999999999999
"Fantini, Alfred B.",2662.0,0.0,0.68,97.67,0.71,0.0,0.0,0.94,100.0
"Kadete, Elechi M.",815.0,0.0,41.1,0.0,14.11,0.0,0.0,44.79,100.0
"Lim, Christopher",934.0,0.0,30.94,0.0,20.34,0.0,0.0,48.72,99.99999999999999
"Rojas Villareal, Jose Luis",1134.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
"Weinstain, Rachel",2178.0,0.0,9.18,0.0,86.73,0.0,0.0,4.09,100.0
"Weinstein, David J.",975.0,0.0,26.77,0.0,30.46,0.0,0.0,42.77,100.0
"Wilson, Ayesha",2692.0,99.85,0.0,0.0,0.11,0.0,0.0,0.04,99.99999999999999
writeIns,53.0,0.0,13.21,0.0,5.66,0.0,0.0,81.13,99.99999999999999
