Ballots with first choice:,Number of Ballots,% of votes to PAUL BELLAR,% of votes to CARMEN CHU,% of votes to exhaust,percent_sum
CARMEN CHU,236697,0,100,0,100
PAUL BELLAR,80479,100,0,0,100
