Ballots with first choice:,Number of Ballots,% of votes to WILLIAM ''BO'' GHIRARDELLI,% of votes to AIMEE ENG,% of votes to exhaust,percent_sum
AIMEE ENG,8907,0,100,0,100
WILLIAM ''BO'' GHIRARDELLI,2803,100,0,0,100
