Ballots with first choice:,Number of Ballots,% of votes to HUBER TRENADO,% of votes to ROSIE TORRES,% of votes to exhaust,percent_sum
HUBER TRENADO,4941.0,100.0,0.0,0.0,100.0
MIKE HASSID,1456.0,43.48,28.85,27.68,100.0
MIKE HUTCHINSON,2122.0,20.5,50.47,29.03,99.99999999999999
ROSIE TORRES,4786.0,0.0,100.0,0.0,100.0
