Ballots with first choice:,Number of Ballots,% of votes to Will Baker,% of votes to Julie Anderson,% of votes to Jan Shabro,% of votes to exhaust,percent_sum
Jan Shabro,63338.0,0.0,0.0,100.0,0.0,100.0
Julie Anderson,76634.0,0.0,100.0,0.0,0.0,100.0
Will Baker,12978.0,100.0,0.0,0.0,0.0,100.0
writeIns,578.0,5.54,11.25,6.06,77.16,100.0
