Ballots with first choice:,Number of Ballots,% of votes to SHAMANN WALTON,% of votes to TONY KELLY,% of votes to exhaust,percent_sum
ASALE CHANDLER,802.0,23.19,27.56,49.25,100.0
GLORIA BERRY,966.0,27.95,27.74,44.31,100.0
SHAMANN WALTON,9585.0,100.0,0.0,0.0,100.0
THEO ELLINGTON,4820.0,51.51,20.98,27.51,99.99999999999999
TONY KELLY,5679.0,0.0,100.0,0.0,100.0
UZURI PEASE-GREENE,1311.0,37.22,33.26,29.52,100.0
writeIns,31.0,35.48,29.03,35.48,99.99999999999997
