Ballots with first choice:,Number of Ballots,% of votes to URSULA REED,% of votes to MORGAN MACK-ROSE,% of votes to exhaust,percent_sum
DAN DILLMAN,4823.0,27.18,45.18,27.64,100.0
MORGAN MACK-ROSE,9666.0,0.0,100.0,0.0,100.0
URSULA REED,10734.0,100.0,0.0,0.0,100.0
writeIns,213.0,5.63,12.21,82.16,100.0
