Ballots with first choice:,Number of Ballots,% of votes to Marcus Harcus,% of votes to Barbara A. Johnson,% of votes to Troy Parker,% of votes to exhaust,percent_sum
Barbara A. Johnson,1546.0,0.0,100.0,0.0,0.0,100.0
Grant Cermak,386.0,17.1,18.39,15.28,49.22,100.0
Marcus Harcus,442.0,100.0,0.0,0.0,0.0,100.0
Troy Parker,921.0,0.0,0.0,100.0,0.0,100.0
writeIns,4.0,0.0,25.0,0.0,75.0,100.0
