Ballots with first choice:,Number of Ballots,% of votes to DAN KALB,% of votes to KEVIN M. CORBETT,% of votes to exhaust,percent_sum
DAN KALB,25102,100,0,0,100
KEVIN M. CORBETT,5917,0,100,0,100
