Ballots with first choice:,Number of Ballots,% of votes to Kevin Reich,% of votes to Jillia Pessenda,% of votes to exhaust,percent_sum
Jillia Pessenda,3846.0,0.0,100.0,0.0,100.0
John Hayden,853.0,32.24,30.72,37.05,100.0
Kevin Reich,4015.0,100.0,0.0,0.0,100.0
writeIns,20.0,30.0,20.0,50.0,100.0
