Ballots with first choice:,Number of Ballots,% of votes to ED HERNANDEZ,% of votes to BRYAN AZEVEDO,% of votes to exhaust,percent_sum
BRYAN AZEVEDO,12282,0,100,0,100
ED HERNANDEZ,14648,100,0,0,100
