Ballots with first choice:,Number of Ballots,% of votes to ED LEE,% of votes to REED MARTIN,% of votes to writeIns,% of votes to FRANCISCO HERRERA,% of votes to AMY FARAH WEISS,% of votes to STUART SCHUFFMAN,% of votes to KENT GRAHAM,% of votes to exhaust,percent_sum
AMY FARAH WEISS,23236,0,0,0,0,100,0,0,0,100
ED LEE,105771,100,0,0,0,0,0,0,0,100
FRANCISCO HERRERA,28805,0,0,0,100,0,0,0,0,100
KENT GRAHAM,8827,0,0,0,0,0,0,100,0,100
REED MARTIN,4660,0,100,0,0,0,0,0,0,100
STUART SCHUFFMAN,18347,0,0,0,0,0,100,0,0,100
writeIns,61,0,0,100,0,0,0,0,0,100
