Ballots with first choice:,Number of Ballots,% of votes to MATT PERRY,% of votes to LINEA PALMISANO,% of votes to exhaust,percent_sum
BOB REUER,749.0,28.57,13.48,57.94,100.0
DAVID REGAN,199.0,20.6,13.07,66.33,100.0
LINEA PALMISANO,4452.0,0.0,100.0,0.0,100.0
MATT PERRY,4063.0,100.0,0.0,0.0,100.0
MISSY DURANT,986.0,39.25,48.28,12.47,100.0
writeIns,10.0,0.0,40.0,60.0,100.0
