Ballots with first choice:,Number of Ballots,% of votes to DAVID CAMPOS,% of votes to MARK SANCHEZ,% of votes to exhaust,percent_sum
DAVID CAMPOS,9468.0,100.0,0.0,0.0,100.0
ERIC QUEZADA,5352.0,39.31,38.92,21.77,99.99999999999999
ERIC STOREY,806.0,20.84,18.36,60.79,100.0
EVA ROYALE,1842.0,27.14,34.58,38.27,99.99999999999999
MARK SANCHEZ,7648.0,0.0,100.0,0.0,100.0
TOM VALTIN,862.0,36.31,24.36,39.33,100.0
VERN MATHEWS,469.0,17.06,23.45,59.49,99.99999999999999
writeIns,39.0,10.26,2.56,87.18,99.99999999999999
