Ballots with first choice:,Number of Ballots,% of votes to DEBORAH COX,% of votes to MIKE KATZ-LACABE,% of votes to exhaust,percent_sum
"DAVID L. ANDERSON, SR.",2048.0,38.43,23.39,38.18,100.0
DEBORAH COX,6552.0,100.0,0.0,0.0,100.0
KENNETH PON,3365.0,46.33,24.96,28.71,99.99999999999999
MIKE KATZ-LACABE,3480.0,0.0,100.0,0.0,100.0
