Ballots with first choice:,Number of Ballots,% of votes to ROSS MIRKARIMI,% of votes to JOHN ROBINSON,% of votes to VICKI HENNESSY,% of votes to exhaust,percent_sum
JOHN ROBINSON,11036,0,100,0,0,100
ROSS MIRKARIMI,61446,100,0,0,0,100
VICKI HENNESSY,113349,0,0,100,0,100
