Ballots with first choice:,Number of Ballots,% of votes to writeIns,% of votes to CHRISTOPHER DOBBINS,% of votes to exhaust,percent_sum
CHRISTOPHER DOBBINS,9908,0,100,0,100
writeIns,257,100,0,0,100
