Ballots with first choice:,Number of Ballots,% of votes to DESLEY BROOKS,% of votes to LOREN TAYLOR,% of votes to exhaust,percent_sum
DESLEY BROOKS,4429.0,100.0,0.0,0.0,100.0
LOREN TAYLOR,7158.0,0.0,100.0,0.0,100.0
MARLO RODRIGUEZ,1591.0,14.77,39.47,45.76,100.0
MYA WHITAKER,2500.0,22.68,42.2,35.12,100.0
NATASHA MIDDLETON,2167.0,11.63,46.93,41.44,100.0
