Ballots with first choice:,Number of Ballots,% of votes to CHERYL DAVILA,% of votes to DARRYL MOORE,% of votes to exhaust,percent_sum
CHERYL DAVILA,2215.0,100.0,0.0,0.0,100.0
DARRYL MOORE,2837.0,0.0,100.0,0.0,100.0
NANCI IRA ARMSTRONG-TEMPLE,2086.0,59.25,21.38,19.37,99.99999999999999
