Ballots with first choice:,Number of Ballots,% of votes to MARK LENO,% of votes to LONDON BREED,% of votes to exhaust,percent_sum
AMY FARAH WEISS,1675.0,47.52,19.58,32.9,100.0
ANGELA ALIOTO,17552.0,27.59,34.29,38.12,99.99999999999999
ELLEN LEE ZHOU,9576.0,17.7,37.95,44.35,100.0
JANE KIM,60738.0,70.98,19.66,9.37,100.0
LONDON BREED,92121.0,0.0,100.0,0.0,100.0
MARK LENO,61416.0,100.0,0.0,0.0,100.0
MICHELLE BRAVO,900.0,22.89,20.67,56.44,100.0
RICHIE GREENBERG,7051.0,19.36,24.79,55.85,99.99999999999999
writeIns,3.0,0.0,100.0,0.0,100.0
