Ballots with first choice:,Number of Ballots,% of votes to Bevan Dufty,% of votes to writeIns,% of votes to Starchild,% of votes to Alix Amelia Rosenthal,% of votes to exhaust,percent_sum
Alix Amelia Rosenthal,9251,0,0,0,100,0,100
Bevan Dufty,20924,100,0,0,0,0,100
Starchild,1537,0,0,100,0,0,100
writeIns,3,0,100,0,0,0,100
