Ballots with first choice:,Number of Ballots,% of votes to DEBRA WALKER,% of votes to JANE KIM,% of votes to exhaust,percent_sum
DEAN CLARK,602.0,24.92,20.27,54.82,100.0
DEBRA WALKER,5669.0,100.0,0.0,0.0,100.0
ELAINE ZAMORA,637.0,17.27,25.75,56.99,99.99999999999999
FORTUNATE ''NATE'' PAYNE,150.0,20.67,13.33,66.0,99.99999999999999
GEORGE DAVIS,158.0,23.42,11.39,65.19,100.0
GEORGE VAZHAPPALLY,242.0,8.26,11.98,79.75,99.99999999999997
GLENDON ''ANNA CONDA'' HYDE,692.0,37.14,25.14,37.72,100.0
H. BROWN,182.0,14.84,20.33,64.84,100.0
JAMES KEYS,960.0,26.88,30.21,42.92,100.0
JANE KIM,6621.0,0.0,100.0,0.0,100.0
JIM MEKO,407.0,26.54,24.82,48.65,100.0
MATT ASHE,185.0,18.92,21.08,60.0,100.0
MATT DRAKE,947.0,9.5,27.03,63.46,100.0
THERESA SPARKS,3605.0,20.39,27.52,52.09,99.99999999999999
writeIns,29.0,3.45,6.9,89.66,100.0
