Ballots with first choice:,Number of Ballots,% of votes to IGOR A. TREGUB,% of votes to RASHI KESARWANI,% of votes to exhaust,percent_sum
IGOR A. TREGUB,2811.0,100.0,0.0,0.0,100.0
MARGO SCHUELER,1216.0,39.88,43.01,17.11,100.0
MARY BEHM-STEINBERG,345.0,41.45,28.12,30.43,100.0
RASHI KESARWANI,3500.0,0.0,100.0,0.0,100.0
