Ballots with first choice:,Number of Ballots,% of votes to Bob Reuer,% of votes to writeIns,% of votes to Linea Palmisano,% of votes to exhaust,percent_sum
Bob Reuer,1836,100,0,0,0,100
Linea Palmisano,9411,0,0,100,0,100
writeIns,68,0,100,0,0,100
