Ballots with first choice:,Number of Ballots,% of votes to Steffanie Musich,% of votes to Bill Shroyer,% of votes to writeIns,% of votes to Andrea Fahrenkrug,% of votes to exhaust,percent_sum
Andrea Fahrenkrug,2691,0,0,0,100,0,100
Bill Shroyer,3990,0,100,0,0,0,100
Steffanie Musich,9466,100,0,0,0,0,100
writeIns,91,0,0,100,0,0,100
