Ballots with first choice:,Number of Ballots,% of votes to NORMAN YEE,% of votes to JOEL ENGARDIO,% of votes to exhaust,percent_sum
BEN MATRANGA,6498.0,23.98,41.49,34.53,100.0
JOEL ENGARDIO,7645.0,0.0,100.0,0.0,100.0
JOHN FARRELL,4948.0,25.22,36.74,38.04,100.0
MIKE YOUNG,2004.0,35.28,32.73,31.99,99.99999999999999
NORMAN YEE,14179.0,100.0,0.0,0.0,100.0
