Ballots with first choice:,Number of Ballots,% of votes to BENNY LEE,% of votes to CHRIS CROW,% of votes to exhaust,percent_sum
BENNY LEE,10271.0,100.0,0.0,0.0,100.0
CHRIS CROW,5687.0,0.0,100.0,0.0,100.0
DARLENE DAEVU,4655.0,39.87,34.76,25.37,100.0
JUSTIN HUTCHISON,2434.0,33.07,39.56,27.36,100.0
writeIns,228.0,5.7,5.7,88.6,100.0
