Ballots with first choice:,Number of Ballots,% of votes to LEN RAPHAEL,% of votes to BRENDA ROBERTS,% of votes to exhaust,percent_sum
BRENDA ROBERTS,60970,0,100,0,100
LEN RAPHAEL,18317,100,0,0,100
