Ballots with first choice:,Number of Ballots,% of votes to IGNACIO DE LA FUENTE,% of votes to REBECCA KAPLAN,% of votes to exhaust,percent_sum
CAROL LEE TOLBERT,22606.0,26.8,37.89,35.31,100.0
IGNACIO DE LA FUENTE,42680.0,100.0,0.0,0.0,100.0
MICK STORM,4567.0,21.96,29.84,48.19,100.0
REBECCA KAPLAN,65041.0,0.0,100.0,0.0,100.0
THERESA ANDERSON,8805.0,14.96,43.87,41.17,100.0
writeIns,821.0,7.06,13.15,79.78,100.0
