Ballots with first choice:,Number of Ballots,% of votes to JESSICA HO,% of votes to GORDON MAR,% of votes to exhaust,percent_sum
ADAM KIM,515.0,33.4,21.94,44.66,100.0
ARTHUR TOM,2441.0,26.83,27.0,46.17,100.0
GORDON MAR,10314.0,0.0,100.0,0.0,100.0
JESSICA HO,7444.0,100.0,0.0,0.0,100.0
LOU ANN BASSAN,2183.0,23.41,17.82,58.77,100.0
MIKE MURPHY,1182.0,13.45,27.24,59.31,99.99999999999999
TREVOR MCNEIL,3490.0,25.87,34.7,39.43,100.0
TUAN NGUYEN,853.0,25.91,28.96,45.13,100.0
