Ballots with first choice:,Number of Ballots,"% of votes to DEM Golden, Jared F.","% of votes to REP Poliquin, Bruce",% of votes to exhaust,percent_sum
"Bond, Tiffany L.",16552.0,47.5,18.83,33.67,100.0
"DEM Golden, Jared F.",132013.0,100.0,0.0,0.0,100.0
"Hoar, William R.S.",6875.0,37.31,23.71,38.98,100.0
"REP Poliquin, Bruce",134184.0,0.0,100.0,0.0,100.0
