Ballots with first choice:,Number of Ballots,% of votes to ALEJANDRO SOTO-VIGIL,% of votes to MERRILIE MITCHELL,% of votes to LINDA MAIO,% of votes to exhaust,percent_sum
ALEJANDRO SOTO-VIGIL,2270,100,0,0,0,100
LINDA MAIO,3038,0,0,100,0,100
MERRILIE MITCHELL,256,0,100,0,0,100
