Ballots with first choice:,Number of Ballots,% of votes to ANN-MARIE HOGAN,% of votes to writeIns,% of votes to exhaust,percent_sum
ANN-MARIE HOGAN,31428,100,0,0,100
writeIns,717,0,100,0,100
