Ballots with first choice:,Number of Ballots,% of votes to KIM ALVARENGA,% of votes to AHSHA SAFAI,% of votes to exhaust,percent_sum
AHSHA SAFAI,9466.0,0.0,100.0,0.0,100.0
BERTA HERNANDEZ,1607.0,31.67,24.58,43.75,100.0
FRANCISCO HERRERA,2618.0,31.25,22.61,46.14,100.0
KIM ALVARENGA,8670.0,100.0,0.0,0.0,100.0
MAGDALENA DE GUZMAN,3019.0,26.9,25.47,47.63,99.99999999999999
