Ballots with first choice:,Number of Ballots,% of votes to writeIns,% of votes to PAULINE RUSSO CUTTER,% of votes to CORINA N. LOPEZ,% of votes to exhaust,percent_sum
CORINA N. LOPEZ,9291,0,0,100,0,100
PAULINE RUSSO CUTTER,10784,0,100,0,0,100
writeIns,217,100,0,0,0,100
