Ballots with first choice:,Number of Ballots,% of votes to SEAN SULLIVAN,% of votes to LYNETTE GIBSON-MCELHANEY,% of votes to exhaust,percent_sum
ALEX MILLER-COLE,2003.0,29.21,28.71,42.09,100.0
DERRICK MUHAMMAD,3152.0,15.99,44.51,39.5,100.0
"LARRY LIONEL YOUNG, JR.",1959.0,26.44,29.35,44.21,100.0
LYNETTE GIBSON-MCELHANEY,5207.0,0.0,100.0,0.0,100.0
NYEISHA DEWITT,3906.0,17.46,41.68,40.86,100.0
SEAN SULLIVAN,5736.0,100.0,0.0,0.0,100.0
writeIns,132.0,3.79,6.82,89.39,100.0
