Ballots with first choice:,Number of Ballots,% of votes to SOPHIE HAHN,% of votes to STEPHEN MURPHY,% of votes to exhaust,percent_sum
SOPHIE HAHN,5821,100,0,0,100
STEPHEN MURPHY,3502,0,100,0,100
