Ballots with first choice:,Number of Ballots,% of votes to Dale Washam,% of votes to Barbara Gelman,% of votes to exhaust,percent_sum
Barbara Gelman,49874.0,0.0,100.0,0.0,100.0
Bernardo Tuma,18205.0,24.33,21.01,54.67,100.0
Beverly Davidson,27340.0,18.15,34.85,47.0,99.99999999999999
Dale Washam,65676.0,100.0,0.0,0.0,100.0
Jan Shabro,50023.0,22.39,28.17,49.44,100.0
Terry Lee,50278.0,23.99,27.25,48.77,100.0
writeIns,1051.0,3.81,4.95,91.25,100.0
