Ballots with first choice:,Number of Ballots,% of votes to DANA KING,% of votes to ABEL GUILLEN,% of votes to exhaust,percent_sum
ABEL GUILLEN,4886.0,0.0,100.0,0.0,100.0
ANDREW PARK,2600.0,29.04,42.23,28.73,99.99999999999999
DANA KING,4459.0,100.0,0.0,0.0,100.0
KEN MAXEY,311.0,28.62,35.05,36.33,99.99999999999999
KEVIN BLACKBURN,1299.0,38.26,34.95,26.79,99.99999999999999
