Ballots with first choice:,Number of Ballots,% of votes to RICHARD FUENTES,% of votes to JUMOKE HINTON HODGE,% of votes to exhaust,percent_sum
BENJAMIN LANG,5298.0,36.28,37.92,25.8,99.99999999999999
JUMOKE HINTON HODGE,9694.0,0.0,100.0,0.0,100.0
RICHARD FUENTES,5547.0,100.0,0.0,0.0,100.0
writeIns,177.0,9.6,12.43,77.97,100.0
