Ballots with first choice:,Number of Ballots,% of votes to MAX ANDERSON,% of votes to DMITRI BELSER,% of votes to writeIns,% of votes to exhaust,percent_sum
DMITRI BELSER,2025,0,100,0,0,100
MAX ANDERSON,3130,100,0,0,0,100
writeIns,31,0,0,100,0,100
