Ballots with first choice:,Number of Ballots,% of votes to PAUL YBARRA ROBERTSON,% of votes to LONDON N. BREED,"% of votes to ROBERT L. JORDAN, JR.",% of votes to ELLEN LEE ZHOU,% of votes to JOEL VENTRESCA,% of votes to MARC ROTH,% of votes to WILMA PANG,% of votes to exhaust,percent_sum
ELLEN LEE ZHOU,25006.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
JOEL VENTRESCA,13283.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
LONDON N. BREED,126221.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
MARC ROTH,7.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
PAUL YBARRA ROBERTSON,7649.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"ROBERT L. JORDAN, JR.",2458.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
WILMA PANG,4963.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
writeIns,0.0,0,0,0,0,0,0,0,0,0
