Ballots with first choice:,Number of Ballots,% of votes to VALLIE BROWN,% of votes to DEAN PRESTON,% of votes to exhaust,percent_sum
DEAN PRESTON,11239.0,0.0,100.0,0.0,100.0
NOMVULA O'MEARA,278.0,25.54,43.88,30.58,99.99999999999999
RYAN LAM,950.0,27.26,38.11,34.63,100.0
VALLIE BROWN,11208.0,100.0,0.0,0.0,100.0
writeIns,0.0,0,0,0,0
