Ballots with first choice:,Number of Ballots,% of votes to CHRISTINA OLAGUE,% of votes to LONDON BREED,% of votes to exhaust,percent_sum
ANDREW ''ELLARD'' RESIGNATO,782.0,17.77,35.42,46.8,100.0
CHRISTINA OLAGUE,6955.0,100.0,0.0,0.0,100.0
DANIEL EVERETT,1315.0,20.68,26.92,52.4,100.0
HOPE JOHNSON,490.0,20.2,23.47,56.33,100.0
JOHN RIZZO,5683.0,27.05,23.49,49.46,99.99999999999999
JULIAN DAVIS,5342.0,32.42,26.69,40.88,99.99999999999999
LONDON BREED,9842.0,0.0,100.0,0.0,100.0
THEA SELBY,4738.0,19.71,33.69,46.6,99.99999999999999
