Ballots with first choice:,Number of Ballots,% of votes to CORINA N. LOPEZ,% of votes to MAXINE OLIVER-BENSON,% of votes to exhaust,percent_sum
CORINA N. LOPEZ,16415,100,0,0,100
MAXINE OLIVER-BENSON,6875,0,100,0,100
