Ballots with first choice:,Number of Ballots,% of votes to JoAnne Vigil Coppler,% of votes to Greg Scargall,% of votes to exhaust,percent_sum
Eric John Holmes,1305.0,34.02,38.7,27.28,100.0
Greg Scargall,1473.0,0.0,100.0,0.0,100.0
JoAnne Vigil Coppler,2121.0,100.0,0.0,0.0,100.0
