Ballots with first choice:,Number of Ballots,% of votes to BEN BARTLETT,% of votes to DEBORAH MATTHEWS,% of votes to MARK A. COPLAN,% of votes to AL G. MURRAY,% of votes to exhaust,percent_sum
AL G. MURRAY,133,0,0,0,100,0,100
BEN BARTLETT,4060,100,0,0,0,0,100
DEBORAH MATTHEWS,1482,0,100,0,0,0,100
MARK A. COPLAN,1443,0,0,100,0,0,100
