Ballots with first choice:,Number of Ballots,% of votes to SONJA TRAUSS,% of votes to MATT HANEY,% of votes to CHRISTINE JOHNSON,% of votes to exhaust,percent_sum
CHRISTINE JOHNSON,6267,0,0,100,0,100
MATT HANEY,14288,0,100,0,0,100
SONJA TRAUSS,4775,100,0,0,0,100
