Ballots with first choice:,Number of Ballots,% of votes to Ron Dudum,% of votes to Ed Jew,% of votes to exhaust,percent_sum
David Ferguson,1455.0,33.95,21.37,44.67,99.99999999999999
Doug Chan,3236.0,28.68,39.77,31.55,100.0
Ed Jew,5184.0,0.0,100.0,0.0,100.0
Houston Zheng,234.0,17.09,41.45,41.45,99.99999999999999
Jaynry Mak,4569.0,21.69,33.03,45.28,100.0
Ron Dudum,5134.0,100.0,0.0,0.0,100.0
writeIns,2.0,0.0,0.0,100.0,100.0
