Ballots with first choice:,Number of Ballots,% of votes to JEAN QUAN,% of votes to DON PERATA,% of votes to exhaust,percent_sum
ARNOLD FIELDS,733.0,18.28,16.64,65.08,100.0
DON MACLEAY,1630.0,68.53,6.38,25.09,99.99999999999999
DON PERATA,40342.0,0.0,100.0,0.0,100.0
GREG HARLAND,966.0,18.63,17.81,63.56,99.99999999999999
JEAN QUAN,29266.0,100.0,0.0,0.0,100.0
JOE TUMAN,14347.0,39.23,28.88,31.89,100.0
LARRY LIONEL ''LL'' YOUNG JR.,933.0,18.54,22.51,58.95,100.0
MARCIE HODGE,2994.0,28.36,30.03,41.62,99.99999999999999
REBECCA KAPLAN,25813.0,62.03,20.17,17.8,99.99999999999999
TERENCE CANDELL,2315.0,21.51,27.34,51.14,99.99999999999999
writeIns,268.0,14.55,14.93,70.52,99.99999999999999
