Ballots with first choice:,Number of Ballots,% of votes to DON MACLEAY,% of votes to JODY LONDON,% of votes to exhaust,percent_sum
DON MACLEAY,7096,100,0,0,100
JODY LONDON,21746,0,100,0,100
