Ballots with first choice:,Number of Ballots,% of votes to Bob Fine,% of votes to Brad Bourn,% of votes to exhaust,percent_sum
Bob Fine,7491.0,100.0,0.0,0.0,100.0
Brad Bourn,8084.0,0.0,100.0,0.0,100.0
Jennifer Zielinski,2273.0,33.57,23.67,42.76,100.0
"Robert M Schlosser ""Bob""",584.0,36.47,27.23,36.3,100.0
writeIns,56.0,7.14,7.14,85.71,100.0
