Ballots with first choice:,Number of Ballots,% of votes to ZACHARY RUNNINGWOLF,% of votes to KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,% of votes to BERNT RAINER WAHL,% of votes to TOM BATES,% of votes to JACQUELYN MCCORMICK,% of votes to writeIns,% of votes to KRISS WORTHINGTON,% of votes to MARK SCHWARTZ,% of votes to exhaust,percent_sum
BERNT RAINER WAHL,2331,0,0,100,0,0,0,0,0,0,100
JACQUELYN MCCORMICK,6026,0,0,0,0,100,0,0,0,0,100
KAHLIL ''DA MAYOR'' JACOBS-FANTAUZZI,2260,0,100,0,0,0,0,0,0,0,100
KRISS WORTHINGTON,11534,0,0,0,0,0,0,100,0,0,100
MARK SCHWARTZ,11,0,0,0,0,0,0,0,100,0,100
TOM BATES,28692,0,0,0,100,0,0,0,0,0,100
ZACHARY RUNNINGWOLF,2023,100,0,0,0,0,0,0,0,0,100
writeIns,190,0,0,0,0,0,100,0,0,0,100
