Ballots with first choice:,Number of Ballots,% of votes to DAVID ONEK,% of votes to GEORGE GASCÓN,% of votes to exhaust,percent_sum
BILL FAZIO,19252.0,21.01,39.49,39.51,100.0
DAVID ONEK,43398.0,100.0,0.0,0.0,100.0
GEORGE GASCÓN,76236.0,0.0,100.0,0.0,100.0
SHARMIN BOCK,38005.0,29.93,37.88,32.2,100.0
VU VUONG TRINH,6596.0,29.43,30.5,40.07,99.99999999999999
