Ballots with first choice:,Number of Ballots,% of votes to Michela Alioto-pier,% of votes to Vilma Guinto Peoro,% of votes to writeIns,% of votes to exhaust,percent_sum
Michela Alioto-pier,16707,100,0,0,0,100
Vilma Guinto Peoro,3487,0,100,0,0,100
writeIns,716,0,0,100,0,100
