Ballots with first choice:,Number of Ballots,% of votes to Steve Fletcher,% of votes to Ginger Jentzen,% of votes to exhaust,percent_sum
Ginger Jentzen,3297.0,0.0,100.0,0.0,100.0
Samantha Pree-Stinson,1007.0,50.05,32.77,17.18,99.99999999999999
Steve Fletcher,2709.0,100.0,0.0,0.0,100.0
Tim Bildsoe,2552.0,64.42,8.46,27.12,99.99999999999999
writeIns,27.0,14.81,3.7,81.48,100.0
