Ballots with first choice:,Number of Ballots,% of votes to SEAN BARRY,% of votes to KRISS WORTHINGTON,% of votes to exhaust,percent_sum
KRISS WORTHINGTON,833,0,100,0,100
SEAN BARRY,670,100,0,0,100
