Ballots with first choice:,Number of Ballots,% of votes to DAN KALB,% of votes to AMY LEMLEY,% of votes to exhaust,percent_sum
AMY LEMLEY,7255.0,0.0,100.0,0.0,100.0
CRAIG BRANDT,1386.0,20.56,30.16,49.28,100.0
DAN KALB,8259.0,100.0,0.0,0.0,100.0
DONALD MACLEAY,1858.0,58.13,14.96,26.91,99.99999999999999
GORDON ''DON'' LINK,2152.0,22.91,29.0,48.09,100.0
LEN RAPHAEL,1905.0,25.25,23.46,51.29,99.99999999999999
RICHARD RAYA,5737.0,29.53,42.22,28.26,100.0
writeIns,107.0,0.93,3.74,95.33,100.0
