Ballots with first choice:,Number of Ballots,% of votes to Allen A. Aigbogun,% of votes to writeIns,% of votes to Cam Gordon,% of votes to exhaust,percent_sum
Allen A. Aigbogun,408,100,0,0,0,100
Cam Gordon,2260,0,0,100,0,100
writeIns,21,0,100,0,0,100
