Ballots with first choice:,Number of Ballots,% of votes to DESLEY BROOKS,% of votes to SHEREDA F. NOSAKHARE,% of votes to exhaust,percent_sum
DESLEY BROOKS,4772.0,100.0,0.0,0.0,100.0
JAMES MOORE,1011.0,23.64,47.58,28.78,99.99999999999999
MICHAEL V. JOHNSON,1943.0,20.43,55.28,24.29,100.0
SHEREDA F. NOSAKHARE,3354.0,0.0,100.0,0.0,100.0
VICENTE CRUZ,82.0,26.83,45.12,28.05,99.99999999999999
