Ballots with first choice:,Number of Ballots,% of votes to NANCY SIDEBOTHAM,% of votes to DESLEY BROOKS,% of votes to writeIns,% of votes to JOSE DORADO,% of votes to exhaust,percent_sum
DESLEY BROOKS,8282,0,100,0,0,0,100
JOSE DORADO,2767,0,0,0,100,0,100
NANCY SIDEBOTHAM,1777,100,0,0,0,0,100
writeIns,85,0,0,100,0,0,100
