Ballots with first choice:,Number of Ballots,% of votes to DIANA SOUZA,% of votes to PAULINE RUSSO CUTTER,% of votes to exhaust,percent_sum
DAN DILLMAN,2246.0,26.8,37.27,35.93,100.0
DIANA SOUZA,5950.0,100.0,0.0,0.0,100.0
GREGG DALY,124.0,11.29,60.48,28.23,99.99999999999999
PAULINE RUSSO CUTTER,7889.0,0.0,100.0,0.0,100.0
