Ballots with first choice:,Number of Ballots,% of votes to John Erwin,% of votes to Bob Fine,% of votes to Annie Young,% of votes to exhaust,percent_sum
Annie Young,6941.0,0.0,0.0,100.0,0.0,100.0
Bob Fine,8089.0,0.2,98.23,0.36,1.21,100.0
David Wahstedt,2807.0,7.78,12.74,10.03,69.45,100.0
John Butler,1114.0,18.25,11.29,15.38,55.08,100.0
John Erwin,6376.0,100.0,0.0,0.0,0.0,100.0
Mary Merrill Anderson,5394.0,26.79,0.0,29.01,44.2,100.0
Nancy Bernard,2024.0,7.52,8.4,34.76,49.32,100.0
Tom Nordyke,3716.0,29.22,15.04,18.96,36.77,99.99999999999999
writeIns,194.0,2.08,3.04,6.19,88.7,99.99999999999999
