Ballots with first choice:,Number of Ballots,% of votes to Jake McGoldrick,% of votes to Lillian Sing,% of votes to exhaust,percent_sum
David Heller,2012.0,28.73,28.13,43.14,99.99999999999999
Jake McGoldrick,11815.0,100.0,0.0,0.0,100.0
Jeffrey S. Freebairn,132.0,21.21,26.52,52.27,100.0
Leanna Dawydiak,1380.0,28.19,31.52,40.29,99.99999999999999
Lillian Sing,8989.0,0.0,100.0,0.0,100.0
Matt Tuchow,2864.0,32.96,38.97,28.07,99.99999999999999
Rose Tsui,1595.0,16.11,49.4,34.48,99.99999999999999
